Gene	Title	Authors	Year	Link	empty	empty	empty	empty
WDR76	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
GRN	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
MROH2B	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
SCAPER	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
ZNF76	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
SERAC1	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
QPCT	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
ZNF366	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
IGLL5	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
ACAD10	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
TTN	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
BCKDK	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
ST5	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
CCDC28B	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
COL15A1	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
POLR3B	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
ULK2	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
OR13C4	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
EIF3L	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
SMAD3	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
JAG2	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
KCTD21	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
TMEM253	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
OR10G8	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
TMEM132A	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
TMIGD2	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
PHF11	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
XRCC1	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
MTO1	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
40422	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
TTC36	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
KIF24	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
BID	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
ARPC1B	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
COQ4	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
ZDHHC3	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
MAGI2	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
ART3	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
TRIM56	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
MYO7B	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
MTMR11	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
ANKRD53	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
ELL	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
TBL2	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
HMOX1	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
MYH9	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
SPTB	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
APLP1	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
NEK1	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
MROH9	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
NOL8	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
BANK1	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
DNAJC10	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
C19orf57	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
FN1	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
CDCA7L	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
PGLYRP4	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
ARHGEF11	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
GJB7	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
ABI3BP	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
FAM217A	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
GCFC2	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
UFL1	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
C5	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
PEX5L	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
DOK5	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
C10orf131	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
PHF23	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
PREX1	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
FOXK1	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
