Gene	Paper_title	Author	Year	Link	RPKM	Log2FC	P	Shared locus
ETNPPL	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
ARHGEF26	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
GJA1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SLC1A2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
ALDH6A1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
GPAM	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
AQP4	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
TRIL	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SOX2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
AHCYL1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
FGFR3	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
RAB34	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
GRAMD1C	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
AGT	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SPON1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
EDNRB	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
ALDH2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SLC25A18	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
MERTK	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
PLSCR4	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
S1PR1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SLC18B1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
APOE	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SNTA1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
ATP13A4	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
CLDN10	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
GPR56	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
LRP4	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
CDC42EP4	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
MYO10	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SELENBP1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
TIMP3	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
APCDD1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SOX9	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
MOG	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SLC44A1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
FA2H	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
CNP	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
CAPN3	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
CLDND1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
ERBB3	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
GPR37	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
CNTN2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
MAG	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SLC31A2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
ENPP2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
HSPA2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
UGT8	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
DBNDD2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
TTYH2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
NPC1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
TMEM125	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
TMEM63A	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
RNASE1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
RASGRP3	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SLC45A3	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
FAM107B	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SH3TC2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
PLP1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
USP54	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
TF	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
NDE1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
FOLH1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
PMP22	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
GJB1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
C10orf90	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
GLDN	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
ELOVL1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
TMEM98	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
