Gene	Title	Authors	Year	Link	RPKM	Log2FC	P	Shared locus
SPI1	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			5.40E-13	PSMC3, MTCH2, MADD, NUP160, PTPMT1, CELF1, RAPSN, NR1H3
MS4A2	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			1.90E-19	MS4A6A, MS4A4A, OSBP
PICALM	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			6.00E-25	SYTL2
SORL1	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			2.90E-12	
FERMT2	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			1.40E-09	PSMC6, STYX
SLC24A4	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			7.40E-09	LGMN, RIN3
ABCA7	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			3.10E-16	POLR2E, STK11, CNN2, HMHA1, CFD, BSG
APOE	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			1.2E-881	
CASS4	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			3.50E-08	CSTF1
ACE	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			7.50E-09	CD79B, PSMC5
ECDH3	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			2.30E-09	
