ensembl_gene_id	Gene.Symbol.x	glia.brain_logFC.x	P.Value	Gene.Symbol.y	glia.brain_logFC.y
ENSG00000068697	LAPTM4A	0.540820728	1.26e-05	LAPTM4A	0.54
ENSG00000068724	TTC7A	3.841292662	4.74e-36	TTC7A	3.84
ENSG00000069493	CLEC2D	3.639072535	1.53e-23	CLEC2D	3.64
ENSG00000070190	DAPP1	5.260231159	3.21e-25	DAPP1	5.26
ENSG00000070756	PABPC1	2.095292172	1.24e-26	PABPC1	2.1
ENSG00000070831	CDC42	0.032254498	0.68312189	CDC42	0.03
ENSG00000071051	NCK2	1.900821619	2.07e-20	NCK2	1.9
ENSG00000071054	MAP4K4	0.583725772	1.8e-05	MAP4K4	0.58
ENSG00000071073	MGAT4A	2.071862378	8.36e-31	MGAT4A	2.07
ENSG00000071082	RPL31	-0.066435581	0.507955138	RPL31	-0.07
ENSG00000071246	VASH1	3.188733369	1.93e-29	VASH1	3.19
ENSG00000071537	SEL1L	0.701989955	9.55e-14	SEL1L	0.7
ENSG00000071859	FAM50A	1.532051826	1.48e-19	FAM50A	1.53
ENSG00000072135	PTPN18	3.411640757	4.11e-36	PTPN18	3.41
ENSG00000072694	FCGR2B	5.249561666	1.44e-18	FCGR2B	5.25
ENSG00000072778	ACADVL	0.660204161	2.84e-06	ACADVL	0.66
ENSG00000072786	STK10	4.49211094	1.25e-36	STK10	4.49
ENSG00000073331	ALPK1	4.76474242	1.74e-29	ALPK1	4.76
ENSG00000073737	DHRS9	5.310814954	1.04e-19	DHRS9	5.31
ENSG00000073754	CD5L	3.777208399	3.28e-15	CD5L	3.78
ENSG00000073849	ST6GAL1	4.526658635	9.3e-37	ST6GAL1	4.53
ENSG00000073921	PICALM	1.04857463	2.78e-19	PICALM	1.05
ENSG00000074370	ATP2A3	5.26695033	1.21e-24	ATP2A3	5.27
ENSG00000074800	ENO1	-1.034781486	3.5e-11	ENO1	-1.03
ENSG00000075151	EIF4G3	-0.277536119	6.23e-06	EIF4G3	-0.28
ENSG00000075292	ZNF638	0.02325549	0.68832489	ZNF638	0.02
ENSG00000075618	FSCN1	1.70961803	2.54e-19	FSCN1	1.71
ENSG00000075624	ACTB	0.906277299	2.31e-09	ACTB	0.91
ENSG00000075785	RAB7A	-0.264841185	0.00160587	RAB7A	-0.26
ENSG00000075884	ARHGAP15	5.691034807	2.16e-36	ARHGAP15	5.69
ENSG00000076641	PAG1	2.86143121	8.19e-40	PAG1	2.86
ENSG00000076928	ARHGEF1	3.884561849	1.03e-36	ARHGEF1	3.88
ENSG00000076944	STXBP2	5.634724504	8.79e-31	STXBP2	5.63
ENSG00000077063	CTTNBP2	1.339139652	2.7e-13	CTTNBP2	1.34
ENSG00000077150	NFKB2	3.993111358	3.6e-22	NFKB2	3.99
ENSG00000077238	IL4R	4.914915621	1.52e-23	IL4R	4.91
ENSG00000077420	APBB1IP	6.136988586	2.32e-39	APBB1IP	6.14
ENSG00000077549	CAPZB	1.59484114	2.99e-23	CAPZB	1.59
ENSG00000078369	GNB1	-1.369815355	5.81e-29	GNB1	-1.37
ENSG00000078579	FGF20	4.110826557	3.77e-20	FGF20	4.11
ENSG00000078674	PCM1	0.229591697	0.000625364	PCM1	0.23
ENSG00000079215	SLC1A3	0.731225733	0.00019359	SLC1A3	0.73
ENSG00000079246	XRCC5	-0.402687668	4.23e-09	XRCC5	-0.4
ENSG00000079263	SP140	4.509068418	4.84e-37	SP140	4.51
ENSG00000079277	MKNK1	3.815772973	9.42e-33	MKNK1	3.82
ENSG00000079385	CEACAM1	5.406519889	1.25e-18	CEACAM1	5.41
ENSG00000079805	DNM2	2.626187018	1.07e-36	DNM2	2.63
ENSG00000079819	EPB41L2	2.355385192	2.73e-28	EPB41L2	2.36
ENSG00000080007	DDX43	3.617812845	9.83e-12	DDX43	3.62
ENSG00000080503	SMARCA2	-0.07765519	0.273626851	SMARCA2	-0.08
ENSG00000080824	HSP90AA1	0.335247453	0.077854854	HSP90AA1	0.34
ENSG00000081189	MEF2C	-0.374601654	0.001884912	MEF2C	-0.37
ENSG00000081237	PTPRC	5.731191228	1.9e-37	PTPRC	5.73
ENSG00000081791	KIAA0141	1.553120681	9.22e-22	KIAA0141	1.55
ENSG00000082074	FYB	5.87142256	1.38e-31	FYB	5.87
ENSG00000082996	RNF13	0.276676852	0.002704158	RNF13	0.28
ENSG00000083223	ZCCHC6	2.178286341	8.27e-34	ZCCHC6	2.18
ENSG00000084070	SMAP2	1.721033236	2.56e-15	SMAP2	1.72
ENSG00000084234	APLP2	0.023774092	0.795625962	APLP2	0.02
ENSG00000084733	RAB10	-0.121304014	0.127390993	RAB10	-0.12
ENSG00000084754	HADHA	0.394883876	5.32e-05	HADHA	0.39
ENSG00000085265	FCN1	4.500151367	5.61e-09	FCN1	4.5
ENSG00000085514	PILRA	4.104899145	1.4e-27	PILRA	4.1
ENSG00000085662	AKR1B1	0.942318029	1.21e-10	AKR1B1	0.94
ENSG00000086061	DNAJA1	-0.596318391	2.24e-05	DNAJA1	-0.6
ENSG00000086062	B4GALT1	4.635788966	1.04e-29	B4GALT1	4.64
ENSG00000086730	LAT2	5.914663302	5.69e-36	LAT2	5.91
ENSG00000087074	PPP1R15A	3.417792704	1.76e-15	PPP1R15A	3.42
ENSG00000087086	FTL	1.165547342	3.22e-11	FTL	1.17
ENSG00000087245	MMP2	3.91273837	8.76e-18	MMP2	3.91
ENSG00000087253	LPCAT2	4.521070318	1.05e-36	LPCAT2	4.52
ENSG00000087266	SH3BP2	3.877885149	1.41e-39	SH3BP2	3.88
ENSG00000087460	GNAS	-1.430974585	3.52e-20	GNAS	-1.43
ENSG00000087589	CASS4	4.65875451	5.48e-23	CASS4	4.66
ENSG00000088448	ANKRD10	1.22397723	5.35e-25	ANKRD10	1.22
ENSG00000088930	XRN2	1.153693913	1.32e-20	XRN2	1.15
ENSG00000089009	RPL6	0.36421317	0.000200359	RPL6	0.36
ENSG00000089041	P2RX7	2.085766768	3.84e-20	P2RX7	2.09
ENSG00000089060	SLC8B1	3.635079387	1.92e-34	SLC8B1	3.64
ENSG00000089127	OAS1	4.241818428	2.35e-22	OAS1	4.24
ENSG00000089157	RPLP0	0.629986353	1.24e-06	RPLP0	0.63
ENSG00000089327	FXYD5	4.586181622	3.68e-20	FXYD5	4.59
ENSG00000089351	GRAMD1A	2.758624399	3.09e-27	GRAMD1A	2.76
ENSG00000089597	GANAB	0.49653911	2.94e-06	GANAB	0.5
ENSG00000089639	GMIP	5.140408563	2.95e-37	GMIP	5.14
ENSG00000089820	ARHGAP4	4.927826469	9.77e-38	ARHGAP4	4.93
ENSG00000090104	RGS1	5.887663681	4.75e-12	RGS1	5.89
ENSG00000090339	ICAM1	3.960380184	6.02e-18	ICAM1	3.96
ENSG00000090376	IRAK3	4.411382197	3.09e-25	IRAK3	4.41
ENSG00000090382	LYZ	4.71113452	3.08e-14	LYZ	4.71
ENSG00000090621	PABPC4	2.013518189	9.7e-31	PABPC4	2.01
ENSG00000090861	AARS	-1.056021949	6.8e-18	AARS	-1.06
ENSG00000091073	DTX2	3.728591508	8.77e-37	DTX2	3.73
ENSG00000091106	NLRC4	6.386025363	4.45e-26	NLRC4	6.39
ENSG00000091317	CMTM6	2.934802069	1.53e-28	CMTM6	2.93
ENSG00000091527	CDV3	0.663441797	1.88e-09	CDV3	0.66
ENSG00000092010	PSME1	1.582310397	6.28e-20	PSME1	1.58
ENSG00000092067	CEBPE	3.888594865	7.26e-17	CEBPE	3.89
ENSG00000092199	HNRNPC	-0.278990209	2.04e-05	HNRNPC	-0.28
ENSG00000092200	RPGRIP1	5.068854462	3.51e-31	RPGRIP1	5.07
ENSG00000092841	MYL6	0.643168646	4.78e-09	MYL6	0.64
ENSG00000092929	UNC13D	4.575499116	4.69e-36	UNC13D	4.58
ENSG00000092964	DPYSL2	-1.887662987	3.94e-30	DPYSL2	-1.89
ENSG00000093072	CECR1	4.092693754	3.48e-31	CECR1	4.09
ENSG00000095303	PTGS1	5.271739075	3.7e-29	PTGS1	5.27
ENSG00000095564	BTAF1	1.736616714	1.48e-31	BTAF1	1.74
ENSG00000095585	BLNK	6.42690168	1.09e-31	BLNK	6.43
ENSG00000095970	TREM2	5.524220838	3.06e-28	TREM2	5.52
ENSG00000096060	FKBP5	2.631798692	8.19e-08	FKBP5	2.63
ENSG00000096384	HSP90AB1	-0.484505141	0.000991065	HSP90AB1	-0.48
ENSG00000096968	JAK2	1.870671658	7.35e-30	JAK2	1.87
ENSG00000096996	IL12RB1	4.284254416	1.45e-28	IL12RB1	4.28
ENSG00000099308	MAST3	-0.248709202	0.007499863	MAST3	-0.25
ENSG00000099331	MYO9B	3.399971364	1.98e-35	MYO9B	3.4
ENSG00000099337	KCNK6	4.961025609	2e-31	KCNK6	4.96
ENSG00000099622	CIRBP	0.102727804	0.306295504	CIRBP	0.1
ENSG00000099783	HNRNPM	1.272628073	7.83e-27	HNRNPM	1.27
ENSG00000099860	GADD45B	2.08250711	9.35e-10	GADD45B	2.08
ENSG00000099985	OSM	5.341280647	1.46e-16	OSM	5.34
ENSG00000100055	CYTH4	6.34550132	5.73e-42	CYTH4	6.35
ENSG00000100060	MFNG	4.441051848	2.09e-28	MFNG	4.44
ENSG00000100201	DDX17	0.749403914	1.83e-19	DDX17	0.75
ENSG00000100219	XBP1	2.307382886	1.35e-18	XBP1	2.31
ENSG00000100220	RTCB	0.532895931	1.73e-10	RTCB	0.53
ENSG00000100239	PPP6R2	1.210463318	3.8e-23	PPP6R2	1.21
ENSG00000100266	PACSIN2	1.799468662	5.37e-28	PACSIN2	1.8
ENSG00000100280	AP1B1	2.244368883	3.14e-30	AP1B1	2.24
ENSG00000100290	BIK	3.397732896	1.17e-17	BIK	3.4
ENSG00000100292	HMOX1	4.707251444	1.87e-26	HMOX1	4.71
ENSG00000100297	MCM5	4.279736839	9.57e-31	MCM5	4.28
ENSG00000100311	PDGFB	3.447372238	4.87e-20	PDGFB	3.45
ENSG00000100316	RPL3	0.146578982	0.131261617	RPL3	0.15
ENSG00000100345	MYH9	2.008090257	2.06e-25	MYH9	2.01
ENSG00000100353	EIF3D	1.091834391	5.25e-24	EIF3D	1.09
ENSG00000100365	NCF4	5.753436237	2.45e-30	NCF4	5.75
ENSG00000100368	CSF2RB	5.740105202	4.96e-30	CSF2RB	5.74
ENSG00000100380	ST13	-0.962910389	2.68e-18	ST13	-0.96
ENSG00000100393	EP300	1.31908433	1.21e-26	EP300	1.32
ENSG00000100504	PYGL	4.345040955	3.15e-27	PYGL	4.35
ENSG00000100596	SPTLC2	1.536128478	3.18e-16	SPTLC2	1.54
ENSG00000100599	RIN3	5.511256502	2.44e-32	RIN3	5.51
ENSG00000100600	LGMN	1.665990148	1.21e-11	LGMN	1.67
ENSG00000100603	SNW1	0.706639299	4.34e-14	SNW1	0.71
ENSG00000100612	DHRS7	1.563794906	8.85e-22	DHRS7	1.56
ENSG00000100644	HIF1A	1.329437464	1.84e-14	HIF1A	1.33
ENSG00000100647	SUSD6	3.075328852	1.81e-36	SUSD6	3.08
ENSG00000100650	SRSF5	0.760707579	1.11e-10	SRSF5	0.76
ENSG00000100813	ACIN1	2.180463184	3.69e-30	ACIN1	2.18
ENSG00000100823	APEX1	0.755428722	8.86e-10	APEX1	0.76
ENSG00000100836	PABPN1	0.908074016	8.01e-13	PABPN1	0.91
ENSG00000100906	NFKBIA	2.243223067	2.43e-19	NFKBIA	2.24
ENSG00000100941	PNN	1.573882953	3.35e-19	PNN	1.57
ENSG00000100985	MMP9	3.639053205	3.88e-07	MMP9	3.64
ENSG00000100991	TRPC4AP	0.721644231	7.42e-18	TRPC4AP	0.72
ENSG00000100997	ABHD12	0.273541201	0.001502427	ABHD12	0.27
ENSG00000101000	PROCR	3.392141747	2.09e-19	PROCR	3.39
ENSG00000101017	CD40	4.284316607	4.91e-25	CD40	4.28
ENSG00000101096	NFATC2	5.315881013	5.75e-41	NFATC2	5.32
ENSG00000101109	STK4	1.729903955	6.43e-34	STK4	1.73
ENSG00000101152	DNAJC5	-0.795624115	1.28e-13	DNAJC5	-0.8
ENSG00000101160	CTSZ	3.641125624	4.25e-32	CTSZ	3.64
ENSG00000101182	PSMA7	-0.027255989	0.732677364	PSMA7	-0.03
ENSG00000101194	SLC17A9	5.514581437	8.88e-26	SLC17A9	5.51
ENSG00000101265	RASSF2	0.939784422	2.49e-07	RASSF2	0.94
ENSG00000101336	HCK	5.737405152	2.7e-30	HCK	5.74
ENSG00000101347	SAMHD1	2.508756127	8.6e-27	SAMHD1	2.51
ENSG00000101367	MAPRE1	0.421663143	4.01e-06	MAPRE1	0.42
ENSG00000101439	CST3	-0.951372911	9.85e-09	CST3	-0.95
ENSG00000101463	SYNDIG1	2.094022128	1.75e-17	SYNDIG1	2.09
ENSG00000101474	APMAP	1.853302309	9.33e-26	APMAP	1.85
ENSG00000101577	LPIN2	1.052272916	1.66e-18	LPIN2	1.05
ENSG00000101670	LIPG	5.361732246	3.78e-09	LIPG	5.36
ENSG00000101916	TLR8	4.832320658	2.26e-16	TLR8	4.83
ENSG00000102034	ELF4	5.916383699	1.41e-35	ELF4	5.92
ENSG00000102038	SMARCA1	0.297187617	0.002597862	SMARCA1	0.3
ENSG00000102144	PGK1	-1.058556332	9.24e-15	PGK1	-1.06
ENSG00000102445	RUBCNL	4.037561746	1.71e-34	RUBCNL	4.04
ENSG00000102699	PARP4	3.076611504	4.75e-35	PARP4	3.08
ENSG00000102854	MSLN	4.610671442	6e-14	MSLN	4.61
ENSG00000102879	CORO1A	3.124590574	2.65e-34	CORO1A	3.12
ENSG00000102886	GDPD3	3.748861662	3.29e-21	GDPD3	3.75
ENSG00000102890	ELMO3	3.405720586	2.3e-20	ELMO3	3.41
ENSG00000102962	CCL22	3.562078268	6.95e-15	CCL22	3.56
ENSG00000103187	COTL1	3.110459594	1.76e-24	COTL1	3.11
ENSG00000103313	MEFV	3.686112393	1.62e-17	MEFV	3.69
ENSG00000103335	PIEZO1	4.001589505	6e-33	PIEZO1	4
ENSG00000103365	GGA2	1.731486887	4.07e-30	GGA2	1.73
ENSG00000103449	SALL1	2.875939195	5.7e-28	SALL1	2.88
ENSG00000103490	PYCARD	4.776184781	1.24e-27	PYCARD	4.78
ENSG00000103522	IL21R	4.489687798	2.13e-10	IL21R	4.49
ENSG00000103653	CSK	3.024762312	2.67e-36	CSK	3.02
ENSG00000103657	HERC1	-0.710708342	2.3e-18	HERC1	-0.71
ENSG00000103811	CTSH	3.370560068	1.01e-35	CTSH	3.37
ENSG00000103994	ZNF106	-0.193190458	0.004837666	ZNF106	-0.19
ENSG00000104043	ATP8B4	4.684272763	2.04e-43	ATP8B4	4.68
ENSG00000104081	BMF	4.459632565	5.3e-20	BMF	4.46
ENSG00000104518	GSDMD	3.778704736	5.46e-23	GSDMD	3.78
ENSG00000104689	TNFRSF10A	4.097563599	2.18e-27	TNFRSF10A	4.1
ENSG00000104763	ASAH1	1.939327924	2.33e-26	ASAH1	1.94
ENSG00000104774	MAN2B1	4.124493033	5.85e-40	MAN2B1	4.12
ENSG00000104805	NUCB1	0.424255706	0.000256233	NUCB1	0.42
ENSG00000104814	MAP4K1	4.856592496	3.57e-28	MAP4K1	4.86
ENSG00000104852	SNRNP70	1.35267486	2.46e-19	SNRNP70	1.35
ENSG00000104870	FCGRT	4.34148518	1.15e-29	FCGRT	4.34
ENSG00000104881	PPP1R13L	3.67276233	3.37e-22	PPP1R13L	3.67
ENSG00000104894	CD37	6.431306513	2.06e-29	CD37	6.43
ENSG00000104903	LYL1	5.75770073	7.63e-33	LYL1	5.76
ENSG00000104904	OAZ1	-0.311210681	0.001256436	OAZ1	-0.31
ENSG00000104951	IL4I1	3.899864912	5.01e-21	IL4I1	3.9
ENSG00000104972	LILRB1	6.399016286	1.21e-27	LILRB1	6.4
ENSG00000104974	LILRA1	5.74703893	3.38e-26	LILRA1	5.75
ENSG00000105122	RASAL3	6.508788725	3.68e-36	RASAL3	6.51
ENSG00000105193	RPS16	1.705977465	1.18e-11	RPS16	1.71
ENSG00000105246	EBI3	5.540821705	9.29e-27	EBI3	5.54
ENSG00000105281	SLC1A5	5.971619454	7.56e-28	SLC1A5	5.97
ENSG00000105329	TGFB1	5.858652671	6.28e-36	TGFB1	5.86
ENSG00000105339	DENND3	4.543636724	4.58e-29	DENND3	4.54
ENSG00000105352	CEACAM4	4.848228966	4.89e-21	CEACAM4	4.85
ENSG00000105366	SIGLEC8	5.993715139	4.67e-22	SIGLEC8	5.99
ENSG00000105372	RPS19	1.001052159	3.34e-13	RPS19	1
ENSG00000105383	CD33	6.376371383	2.14e-35	CD33	6.38
ENSG00000105397	TYK2	2.323492291	2.06e-32	TYK2	2.32
ENSG00000105401	CDC37	0.599532808	7.6e-09	CDC37	0.6
ENSG00000105483	CARD8	4.013650297	1.02e-41	CARD8	4.01
ENSG00000105501	SIGLEC5	5.695080963	5.81e-27	SIGLEC5	5.7
ENSG00000105609	LILRB5	3.841601922	1.09e-13	LILRB5	3.84
ENSG00000105612	DNASE2	2.248071373	1.27e-22	DNASE2	2.25
ENSG00000105639	JAK3	4.14340897	3.37e-19	JAK3	4.14
ENSG00000105640	RPL18A	0.567910971	1.16e-05	RPL18A	0.57
ENSG00000105643	ARRDC2	1.904158041	5.7e-15	ARRDC2	1.9
ENSG00000105697	HAMP	5.50677644	2.05e-09	HAMP	5.51
ENSG00000105698	USF2	1.266244992	5.02e-23	USF2	1.27
ENSG00000105851	PIK3CG	4.867186017	6.22e-35	PIK3CG	4.87
ENSG00000105875	WDR91	2.194899298	4.82e-25	WDR91	2.19
ENSG00000105967	TFEC	5.086665288	5.79e-33	TFEC	5.09
ENSG00000106034	CPED1	5.494740624	4.4e-32	CPED1	5.49
ENSG00000106066	CPVL	5.206622908	1.94e-15	CPVL	5.21
ENSG00000106153	CHCHD2	-2.032917769	1.52e-28	CHCHD2	-2.03
ENSG00000106211	HSPB1	1.721046271	1.51e-06	HSPB1	1.72
ENSG00000106366	SERPINE1	4.118325744	7.52e-05	SERPINE1	4.12
ENSG00000106560	GIMAP2	4.06152899	1.56e-30	GIMAP2	4.06
ENSG00000106565	TMEM176B	3.39407119	3.74e-21	TMEM176B	3.39
ENSG00000106682	EIF4H	-1.014179895	2.76e-19	EIF4H	-1.01
ENSG00000106799	TGFBR1	4.063450274	5.4e-31	TGFBR1	4.06
ENSG00000106948	AKNA	4.258671337	3.49e-43	AKNA	4.26
ENSG00000106952	TNFSF8	5.745642499	7.21e-29	TNFSF8	5.75
ENSG00000106991	ENG	3.607524984	9.56e-29	ENG	3.61
ENSG00000107099	DOCK8	6.125751485	1.59e-41	DOCK8	6.13
ENSG00000107223	EDF1	-0.914525971	7.1e-16	EDF1	-0.91
ENSG00000107263	RAPGEF1	2.063559396	6.96e-24	RAPGEF1	2.06
ENSG00000107290	SETX	1.374360581	1.42e-32	SETX	1.37
ENSG00000107551	RASSF4	2.511707065	4.04e-19	RASSF4	2.51
ENSG00000107581	EIF3A	0.428230105	6.59e-09	EIF3A	0.43
ENSG00000107719	PALD1	5.236212323	5.1e-37	PALD1	5.24
ENSG00000107738	C10orf54	4.070547854	3.11e-29	C10orf54	4.07
ENSG00000107798	LIPA	1.497854195	1.91e-11	LIPA	1.5
